2026-01-23 22:51:47 PST LOG:  database system was interrupted; last known up at 2026-01-21 21:38:49 PST
2026-01-23 22:51:57 PST LOG:  syncing data directory (fsync), elapsed time: 10.10 s, current path: ./base/4/2615_fsm
2026-01-23 22:52:07 PST LOG:  syncing data directory (fsync), elapsed time: 20.00 s, current path: ./base/5/2840_vm
2026-01-23 22:52:13 PST LOG:  database system was not properly shut down; automatic recovery in progress
2026-01-23 22:52:13 PST LOG:  redo starts at 0/183A420
2026-01-23 22:52:13 PST LOG:  invalid record length at 0/183A458: expected at least 24, got 0
2026-01-23 22:52:13 PST LOG:  redo done at 0/183A420 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.02 s
2026-01-23 22:52:13 PST LOG:  checkpoint starting: end-of-recovery immediate wait
2026-01-23 22:52:13 PST LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.050 s, total=0.272 s; sync files=2, longest=0.027 s, average=0.025 s; distance=0 kB, estimate=0 kB; lsn=0/183A458, redo lsn=0/183A458
2026-01-23 23:06:02 PST LOG:  shutting down
2026-01-23 23:06:02 PST LOG:  checkpoint starting: shutdown immediate
2026-01-23 23:06:02 PST ERROR:  canceling statement due to user request
2026-01-23 23:06:02 PST ERROR:  canceling statement due to user request
2026-01-23 23:06:02 PST LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.001 s, total=0.164 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/183A508, redo lsn=0/183A508
